sprint_id	title	status	created_at	updated_at
001	Rewrite Sprint Tooling from Python to Go	planned	2026-03-27T23:10:40Z	2026-03-27T23:10:40Z
002	Organization Admin User Story Backlog	planned	2026-05-01T21:25:07Z	2026-05-01T21:25:07Z
003	Auth + Organization Foundation	planned	2026-04-30T03:40:28Z	2026-04-30T03:40:28Z
004	Build & Configuration System	planned	2026-04-30T22:44:34Z	2026-04-30T22:44:34Z
005	Migrate Authentication to Clerk	planned	2026-05-01T21:25:07Z	2026-05-01T21:25:07Z
006	Boat + Trip Scraper from liveaboard.com	planned	2026-05-04T00:25:24Z	2026-05-04T00:25:24Z
007	Admin UX — Three Candidate Experiences	planned	2026-05-04T01:15:03Z	2026-05-04T01:15:03Z
008	Admin Chrome — Real Data + RBAC	planned	2026-05-04T16:48:23Z	2026-05-04T16:48:23Z
009	Custom Auth Stack — Replace Clerk; Email via Brevo	completed	2026-05-04T18:25:45Z	2026-05-04T18:59:58Z
010	User Management — Cruise Director Rename, Rich Invitations, Director Landing Page	completed	2026-05-04T22:59:04Z	2026-05-04T23:14:21Z
011	User Menu + Sea Palette — Sign Out, Profile Entry, Brand Refresh	completed	2026-05-05T00:11:42Z	2026-05-05T15:43:57Z
012	Native Trip Import — liveaboard.com + Spreadsheet Upload	completed	2026-05-05T15:43:57Z	2026-05-05T16:23:03Z
013	Catalog, Inventory, and Checkout Currency Foundation	completed	2026-05-07T18:14:04Z	2026-05-07T23:14:41Z
014	Guest Management and Trip Registration	completed	2026-05-07T21:17:08Z	2026-05-07T23:14:51Z
015	Guest Folio Checkout and Payment Settings	in_progress	2026-05-08T01:21:02Z	2026-05-08T01:23:59Z
